handle,url_handle,gov_label,name,description,followers,verified,date_scraped,filename,followers_num
zlj517,zlj517,China government official,Lijian Zhao 赵立坚,"Spokesman & DDG, Information Department, Foreign Ministry, China. @MFA_China @SpokespersonCHN YouTube http://t.cn/A67zK9yN Facebook http://t.cn/A67zKuDi",1.3M,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/zlj517_2022-04-14.html,1300000
SpokespersonCHN,SpokespersonCHN,China government official,Hua Chunying 华春莹,"Assistant Minister of Foreign Affairs, Foreign Ministry Spokesperson, Director General, Information Department, MFA PRC. Get to know us more @MFA_China",1.2M,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/SpokespersonCHN_2022-04-14.html,1200000
MFA_China,MFA_China,China government official,Spokesperson发言人办公室,Follow us to know more about China's Diplomacy. YouTube http://t.cn/A67zK9yN Facebook http://t.cn/A67zKuDi Instagram http://t.cn/A62t2uG3,448.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/MFA_China_2022-04-14.html,448900
AmbLiuXiaoMing,AmbLiuXiaoMing,China government official,刘晓明Liu Xiaoming,"中国政府朝鲜半岛事务特别代表，前驻英国、朝鲜、埃及大使，Special Representative of the Chinese Government on Korean Peninsula Affairs，Former Chinese Ambassador to Egypt, the DPRK and the UK",196K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbLiuXiaoMing_2022-04-14.html,196000
zhang_heqing,zhang_heqing,NA,Zhang Heqing张和清,"Counsellor & Director. Culture, tourism, arts & more. Tweets are only personal views, Rts are not necessarily endorsements. http://facebook.com/CulturalChinaBJ",182K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/zhang_heqing_2022-04-14.html,182000
CathayPak,CathayPak,China government organization,Chinese Emb Pakistan,Embassy of the People's Republic of China in the Islamic Republic of Pakistan 欢迎关注中国驻巴基斯坦使馆官方推特。让我们一起续写中巴友谊，讲好中国故事。,140.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/CathayPak_2022-04-14.html,140900
AmbQinGang,AmbQinGang,China government official,Qin Gang 秦刚,Chinese Ambassador to the United States,129.3K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbQinGang_2022-04-14.html,129300.00000000001
ChineseEmbinUS,ChineseEmbinUS,China government organization,Chinese Embassy in US,Official twitter account of the Embassy of the People's Republic of China in the United States of America,104.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChineseEmbinUS_2022-04-14.html,104600
CaoYi_MFA,CaoYi_MFA,NA,曹 毅 CAO Yi أبو وسيم,"Consul, Embassy of #China in #Lebanon. Chinese diplomat. Past postings: @MFA_China; @ChinaIraq. RTs≠endorsement.قنصل سفارة #الصين في لبنان",103.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/CaoYi_MFA_2022-04-14.html,103800
Chinamission2un,Chinamission2un,China government organization,Chinese Mission to UN,The official twitter account of the Permanent Mission of the People's Republic of China to the United Nations. See also @ChinaAmbUN,96.5K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Chinamission2un_2022-04-14.html,96500
ChnEmbassy_jp,ChnEmbassy_jp,China government organization,中華人民共和国駐日本国大使館,中華人民共和国駐日本国大使館の公式Twitterです。 中日関係、国民交流、また中国経済・文化・社会及び大使館行事などを皆様にご紹介させていただきます。大使館HPはこちらへhttp://china-embassy.or.jp/jpn/,93.7K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChnEmbassy_jp_2022-04-14.html,93700
China_Amb_India,China_Amb_India,China government official,Sun Weidong,Chinese Ambassador to India.,92.5K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/China_Amb_India_2022-04-14.html,92500
EmbaixadaChina,EmbaixadaChina,China government organization,Embaixada da China no Brasil,Trazendo a China para perto de você! Conta oficial da Embaixada da República Popular da China na República Federativa do Brasil. ,91.2K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/EmbaixadaChina_2022-04-14.html,91200
WanmingYang,WanmingYang,China government official,楊萬明Yang Wanming,"Ex-embajador de China en Chile (2012-2014), Argentina (2014-2018) y Brasil (2018-2022)| JD, Maestría en Economía| Perfil personal| Rts no son endosos.",91K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/WanmingYang_2022-04-14.html,91000
ciieonline,ciieonline,NA,China International Import Expo,Welcome to 2022 China International Import Expo ! #CIIE is a can't-miss opportunity to enter the Chinese market! Follow us today !,84.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ciieonline_2022-04-14.html,84800
AmbChenWeiqing,AmbChenWeiQing,NA,Chen Weiqing,‏‏‏Ambassador of China to Saudi ArabiaRepresentative of China to OIC|سفير الصين لدى المملكة العربية السعودية ممثل الصين لدى منظمة التعاون الإسلامي‎‎‎,79K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbChenWeiQing_2022-04-14.html,79000
China2ASEAN,China2ASEAN,China government official,Ambassador Deng Xijun,Ambassador of the People's Republic of China to ASEAN,72.2K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/China2ASEAN_2022-04-14.html,72200
libijian2,libijian2,China government official,libijian李碧建,This is the personal twitter account of Consul General of China to Karachi. The Consulate covers Sindh and Balochistan Provinces of Pakistan.,69.7K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/libijian2_2022-04-14.html,69700
PRCAmbNepal,PRCAmbNepal,NA,Ambassador Hou Yanqi,Ambassador of the People's Republic of China to Nepal,64.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/PRCAmbNepal_2022-04-14.html,64800
AmbNong,AmbNong,NA,Nong Rong,Chinese Ambassador to Pakistan.,53.4K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbNong_2022-04-14.html,53400
chinascio,chinascio,China government organization,China SCIO,"Welcome to @ChinaSCIO, the official Twitter page for the State Council Information Office of China （中华人民共和国国务院新闻办公室）. For more, please visit http://english.scio.gov.cn",53.4K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/chinascio_2022-04-14.html,53400
CGMeifangZhang,CGMeifangZhang,China government official,Zhang Meifang张美芳,Consul General of China in Belfast; FMR Deputy Consul General in NYC; FMR Deputy Consul General in Toronto,48K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/CGMeifangZhang_2022-04-14.html,48000
ChineseEmbtoYEM,ChineseEmbtoYEM,NA,Chinese Embassy to Yemen,Official twitter account of the Embassy of the People's Republic of China to the Republic of Yemen,44.3K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChineseEmbtoYEM_2022-04-14.html,44300
AmbassadeChine,AmbassadeChine,Organisation du gouvernement - Chine,Ambassade de Chine en France,Ambassade de Chine en France,44K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbassadeChine_2022-04-14.html,44000
li_xiaosi,li_xiaosi,NA,Li Xiaosi,Chinese Ambassador to Austria,43.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/li_xiaosi_2022-04-14.html,43900
AmbCina,AmbCina,Cina - Organizzazione governativa,Ambasciata Repubblica Popolare Cinese in Italia,Pagina ufficiale dell'Ambasciata della Repubblica Popolare Cinese in Italia.Seguici su FB: http://facebook.com/chineseembassy…Seguici su IG: @ambcina,40.1K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbCina_2022-04-14.html,40100
ChineseEmbinUK,ChineseEmbinUK,China government organization,Chinese Embassy in UK,Chinese Embassy in UK.,37.3K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChineseEmbinUK_2022-04-14.html,37300
Li_Yang_China,Li_Yang_China,NA,Li Yang,"Counsellor of Department of Information, MFA, China. Former Consul General of China in Rio de Janeiro.",37.1K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Li_Yang_China_2022-04-14.html,37100
xuejianosaka,xuejianosaka,NA,薛剑XueJian,中华人民共和国驻大阪总领事中華人民共和国駐大阪総領事Consul General of P.R.C  in Osaka,31.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/xuejianosaka_2022-04-14.html,31900
ChinaEmbTurkey,ChinaEmbTurkey,NA,Çin Büyükelçiliği Ankara/中国驻土耳其使馆,"Hoşgeldiniz!  Follow, RT, link, ve/veya like ≠ onaylama. DM'lerin basın medya tarafından kullanılması için izin gerekir. YOUTUBE:  Çin Büyükelçiliği Ankara",31.5K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbTurkey_2022-04-14.html,31500
EmbChinaMex,EmbChinaMex,NA,Embajada de China en México,Bienvenidos a la cuenta oficial de la Embajada de China en México 欢迎关注中国驻墨西哥大使馆官方推特账号 官方脸书账号Facebook:EmbChinaMex,30.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/EmbChinaMex_2022-04-14.html,30600
ChinaAmbUN,ChinaAmbUN,China government official,Zhang Jun,Permanent Representative of the People's Republic of China to the United Nations. See also http://chnun.chinamission.org.cn/eng/,29.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaAmbUN_2022-04-14.html,29800
MahuiChina,MahuiChina,China government official,MA Hui 马 辉,Embajador de  China en Cuba Chinese Ambassador to Cuba 中国驻古巴大使,29.7K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/MahuiChina_2022-04-14.html,29700
ChinaEmbEsp,ChinaEmbEsp,NA,Embajada de China en España,Bienvenidos a la cuenta oficial de la Embajada de China en España,27K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbEsp_2022-04-14.html,27000
ChinaEUMission,ChinaEUMission,China government organization,Mission of China to the EU,Mission of the People's Republic of China to the EU . Tweeting about #ChinaEU relations.,24.2K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEUMission_2022-04-14.html,24200
ChinaEmbKabul,ChinaEmbKabul,NA,Wang Yu 王愚,Chinese Ambassador to Afghanistan,24K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbKabul_2022-04-14.html,24000
cidcaofficial,cidcaofficial,NA,CIDCA,"We are the China International Development Cooperation Agency, with a primary mission of providing Chinese foreign assistance to developing countries.",23.1K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/cidcaofficial_2022-04-14.html,23100
AmbChangHua,AmbChangHua,NA,Chang Hua,Ambassador of China to the Islamic Republic of Iran,22.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbChangHua_2022-04-14.html,22800
ChineseEmbinRus,ChineseEmbinRus,Государственный орган (Китай),Chinese Embassy in Russia 中国驻俄罗斯大使馆,Приветствую всех посетителей официального Twitter Посольства КНР в РФ! Благодарю вас за внимание к Китаю и китайско-российским отношениям!,22K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChineseEmbinRus_2022-04-14.html,22000
EmbajadaChinaSV,EmbajadaChinaSV,NA,Embajada de la República Popular China en SV,Perfil Oficial de la Embajada de la República Popular China en El Salvador,21.8K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/EmbajadaChinaSV_2022-04-14.html,21800
ZhaLiyou,ZhaLiyou,NA,CG_Zha Liyou查立友,CG of China in Kolkata 中国驻加尔各答总领事A product of Chinese education system. Comment on things of personal interest and tell stories of immense significance.,20.7K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ZhaLiyou_2022-04-14.html,20700
WuPeng_MFAChina,WuPeng_MFAChina,NA,吴鹏 Wu Peng,"Director-General, Department of African Affairs, MFA, China",20.2K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/WuPeng_MFAChina_2022-04-14.html,20200
ChinaEmbSL,ChinaEmbSL,NA,Chinese Embassy in Sri Lanka,Official twitter account of the Embassy of the People's Republic of China in Colombo中华人民共和国驻斯里兰卡民主社会主义共和国大使馆官方推特,19.5K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbSL_2022-04-14.html,19500
EmbZhangRun,EmbZhangRun,NA,Zhang Run 张润,Embajador de China en la República Dominicana,18.8K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/EmbZhangRun_2022-04-14.html,18800
ChnConsul_osaka,ChnConsul_osaka,NA,中華人民共和国駐大阪総領事館,中国駐大阪総領事館の公式Twitterです！中国社会や中日関係、または在西日本の出来事などを皆様にご紹介させていただきます。フォローしてね！这里是中国驻大阪总领馆官方账号。,18.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChnConsul_osaka_2022-04-14.html,18600
weiasecas,weiasecas,NA,魏强  WEI Qiang,Embajador de China en Panamá,18.1K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/weiasecas_2022-04-14.html,18100
China_Amb_Mdv,China_Amb_Mdv,NA,Ambassador Wang Lixin,Ambassador of the People's Republic of China to the Republic of Maldives,17.9K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/China_Amb_Mdv_2022-04-14.html,17900
YDunhai,YDunhai,NA,Yu Dunhai,Chinese Ambassador to the Republic of Malta,16.9K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/YDunhai_2022-04-14.html,16900
ChinaEmbOttawa,ChinaEmbOttawa,China government organization,ChineseEmbassyOttawa,The official twitter account of the Embassy of the People's Republic of China in Canada,16.7K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbOttawa_2022-04-14.html,16700
ChinaEmbKSA,ChinaEmbKSA,NA,Embassy of China in KSA سفارة الصين في السعودية,‏‏‏Official account of the Embassy of China in KSAالحساب الرسمي للسفارة الصينية في المملكة العربية السعودية@AmbChenWeiqing,15.4K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinaEmbKSA_2022-04-14.html,15400
in_embassy,in_embassy,NA,中国驻立陶宛代办处,The Office of the Chargé d’Affaires of the People's Republic of China in the Republic of Lithuania 讲好中国故事，传递中国声音！请关注和转发！,15.4K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/in_embassy_2022-04-14.html,15400
Amb_Yiming,Amb_Yiming,NA,Zhang Yiming,Ambassador of China to the Republic of Namibia,15.2K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Amb_Yiming_2022-04-14.html,15200
oujianhong,oujianhong,NA,Ou Jianhong,Embajadora de la República Popular China,15.1K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/oujianhong_2022-04-14.html,15100
China_Amb_Zim,China_Amb_Zim,NA,Chinese Ambassador to Zimbabwe,"GUO Shaochun, Chinese Ambassador to Zimbabwe",15K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/China_Amb_Zim_2022-04-14.html,15000
AmbLiuQuan,AmbLiuQuan,NA,Quan Liu,Ambassador of the People's Republic of China to the Republic of SurinamePersonal views only,14K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbLiuQuan_2022-04-14.html,14000
Chinaembmanila,Chinaembmanila,NA,ChineseEmbassyManila,The official twitter account of the Embassy of the People's Republic of China in the Republic of the Philippines,13.5K,FALSE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Chinaembmanila_2022-04-14.html,13500
AmbLiaoLiqiang,AmbLiaoLiqiang,NA,Liao Liqiang,Chinese Ambassador to Egypt,13.3K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/AmbLiaoLiqiang_2022-04-14.html,13300
Amb_ZhuJing,Amb_ZhuJing,NA,Zhu Jing 朱京,Ambassadeur de Chine en RDC中国驻刚果（金）大使,12.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/Amb_ZhuJing_2022-04-14.html,12600
ChinainLebanon,ChinainLebanon,NA,Qian Minjian,Chinese Ambassador to Lebanon RT/link/like/follow does not mean endorsement,12.6K,TRUE,2022-04-14,inst/helper/platform_labels/cn_dips/twitter/raw/140422/html/ChinainLebanon_2022-04-14.html,12600
